Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
GEM,101330,Parker Sonnet Ballpoint,"The Parker Sonnet Ballpoint has a timeless design and high-quality feel. Handcrafted and individually checked for flawless quality, this pen is a classic expression of refined style. With an array of designs, every intricate detail is skillfully executed to bring sophistication to every writing occasion. Features include a fine stainless steel tip for flawless writing, medium ballpoint and black ink. Each pen is packaged in a sleek, high quality gift box which measures 7""L x 1.5""H x 3.25""W.",,,,,15,29,145.42,P,30,49,145.42,P,50,99,145.42,P,100,200,145.42,P
GEM,101330-182,Parker Sonnet Ballpoint Black - Silver Trim,Black - Silver Trim,,36,,,,,,,,,,,,,,,,,,,,
GEM,101330-183,Parker Sonnet Ballpoint Black - Gold Trim,Black - Gold Trim,,15,,,,,,,,,,,,,,,,,,,,
GEM,101330-186,Parker Sonnet Ballpoint Stainless Steel - Silver Trim,Stainless Steel - Silver Trim,,82,,,,,,,,,,,,,,,,,,,,
GEM,101330-187,Parker Sonnet Ballpoint Stainless Steel - Gold Trim,Stainless Steel - Gold Trim,,85,,,,,,,,,,,,,,,,,,,,
GEM,101331,Parker IM Rollerball,"A stylishly reliable writing partner, PARKER IM Rollerball Pens pair smart, polished designs with a sleek tapered shape. Smart yet timeless designs meet a modern tapered silhouette. Range of finishes and trims to complement your style.  Swap ink color to blue for an additional charge. For use with Parker Quink rollerball refills. Refills not included. Packaged in a stylish, two-piece gift box that measures 7""L x 1.25""H x 2""W. Model # PARKERIM",,,,,15,49,47.98,P,50,99,43.18,P,100,249,38.87,Q,250,500,34.98,R
GEM,101331-182,Parker IM Rollerball Black - Silver Trim,Black - Silver Trim,,2736,,,,,,,,,,,,,,,,,,,,
GEM,101331-183,Parker IM Rollerball Black - Gold Trim,Black - Gold Trim,,692,,,,,,,,,,,,,,,,,,,,
GEM,101331-188,Parker IM Rollerball Espresso - Silver Trim,Espresso - Silver Trim,,275,,,,,,,,,,,,,,,,,,,,
GEM,101332,Parker IM Ballpoint,"A stylishly reliable writing partner, PARKER IM Rollerball Pens pair smart, polished designs with a sleek tapered shape. Smart yet timeless designs meet a modern tapered silhouette. Range of finishes and trims to complement your style. Swap ink color to blue for an additional charge. For use with Parker Quink rollerball refills. Refills not included. Packaged in a stylish, two-piece gift box that measures 7""L x 1.25""H x 2""W. Model # PARKERIM",,,,,15,49,36.16,P,50,99,32.54,P,100,249,29.27,Q,250,500,26.35,R
GEM,101332-182,Parker IM Ballpoint Black - Silver Trim,Black - Silver Trim,,287,,,,,,,,,,,,,,,,,,,,
GEM,101332-183,Parker IM Ballpoint Black - Gold Trim,Black - Gold Trim,,353,,,,,,,,,,,,,,,,,,,,
GEM,101332-188,Parker IM Ballpoint Espresso - Silver Trim,Espresso - Silver Trim,,233,,,,,,,,,,,,,,,,,,,,
GEM,101332-191,Parker IM Ballpoint White - Silver Trim,White - Silver Trim,,7,,,,,,,,,,,,,,,,,,,,
GEM,101333,Parker Jotter Original Ballpoint,"Clean lines, robust and professional, Parker Jotter Pen offers a great variety of colors with a simple long shape. Jotter is perfect for those who need a pen on the go and love simple yet cool accessories. The ballpoint nib offers exceptional durability and ease, coupled with an iconic clip and streamlined design. Tube packaging (9.5""L x 0.25""H x 0.25""W) is standard for Jotter Original Ballpoint Pens. Upgraded packaging is available for an upcharge (options are: #101383 or #101384).",,,,,100,199,9.8,P,200,499,8.82,P,500,999,7.93,Q,1000,2000,7.15,Q
GEM,101333-182,Parker Jotter Original Ballpoint Black - Silver Trim,Black - Silver Trim,,0,,,,,,,,,,,,,,,,,,,,
GEM,101333-191,Parker Jotter Original Ballpoint White - Silver Trim,White - Silver Trim,,0,,,,,,,,,,,,,,,,,,,,
GEM,101333-192,Parker Jotter Original Ballpoint Blue - Silver Trim,Blue - Silver Trim,,0,,,,,,,,,,,,,,,,,,,,
GEM,101333-193,Parker Jotter Original Ballpoint Green - Silver Trim,Green - Silver Trim,,92,,,,,,,,,,,,,,,,,,,,
GEM,101333-194,Parker Jotter Original Ballpoint Magenta - Silver Trim,Magenta - Silver Trim,,73,,,,,,,,,,,,,,,,,,,,
GEM,101333-195,Parker Jotter Original Ballpoint Orange - Silver Trim,Orange - Silver Trim,,59,,,,,,,,,,,,,,,,,,,,
GEM,101333-196,Parker Jotter Original Ballpoint Red - Silver Trim,Red - Silver Trim,,3260,,,,,,,,,,,,,,,,,,,,
GEM,101333-197,Parker Jotter Original Ballpoint Yellow - Silver Trim,Yellow - Silver Trim,,21,,,,,,,,,,,,,,,,,,,,
GEM,101334,Parker Jotter XL Ballpoint,"Covetable colors and a distinctive shape, the Jotter is a stylish and practical accessory for anyone who needs a pen on the go. The ballpoint nib offers exceptional durability and ease, coupled with an iconic clip and streamlined design. Medium ballpoint tip, black ink standard. Swap ink color to blue for an additional charge.  Packaged in a stylish gift box which measures 7""L x 1.25""H x 2""W.  Model # JOTTERXL",,,,,100,199,41.22,P,200,499,37.1,P,500,999,33.38,Q,1000,2000,30.05,Q
GEM,101334-156,Parker Jotter XL Ballpoint Monochrome Black - Black Trim,Monochrome Black - Black Trim,,0,,,,,,,,,,,,,,,,,,,,
GEM,101334-157,Parker Jotter XL Ballpoint Monochrome Gold - Gold Trim,Monochrome Gold - Gold Trim,,0,,,,,,,,,,,,,,,,,,,,
GEM,101334-158,Parker Jotter XL Ballpoint Monochrome Pink Gold - Pink Gold Trim,Monochrome Pink Gold - Pink Gold Trim,,0,,,,,,,,,,,,,,,,,,,,
GEM,101335,Waterman Expert Rollerball,"Redefine your writing experience with the Waterman Expert Rollerball Pen. The Expert Rollerball marries sophisticated Parisian styling with refined executive tastes for a match that exceeds expectations. Hand-crafted and assembled in France. Sophisticated design for high-precision writing. Swap ink color to blue for an additional charge. Presented in a luxury gift box that measures 7""L x 1.5""H x 2.75""W. Model # EXPERT",,,,,15,29,181.32,P,30,49,181.32,P,50,99,181.32,P,100,200,181.32,P
GEM,101335-182,Waterman Expert Rollerball Black - Silver Trim,Black - Silver Trim,,1170,,,,,,,,,,,,,,,,,,,,
GEM,101336,Waterman Expert Ballpoint,"Redefine your writing experience with the Waterman Expert Ballpoint Pen. The Expert Ballpoint marries sophisticated Parisian styling with refined executive tastes for a match that exceeds expectations. Hand-crafted and assembled in France. Sophisticated design for high-precision writing. Medium ballpoint tip, black ink standard. Swap ink color to blue for an additional charge. Presented in luxury gift box which measures 7""L x 1.5""H x 2.75""W. Model # EXPERT",,,,,15,29,162.1,P,30,49,162.1,P,50,99,162.1,P,100,200,162.1,P
GEM,101336-182,Waterman Expert Ballpoint Black - Silver Trim,Black - Silver Trim,,202,,,,,,,,,,,,,,,,,,,,
GEM,101336-183,Waterman Expert Ballpoint Black - Gold Trim,Black - Gold Trim,,329,,,,,,,,,,,,,,,,,,,,
GEM,101336-186,Waterman Expert Ballpoint Stainless Steel - Silver Trim,Stainless Steel - Silver Trim,,122,,,,,,,,,,,,,,,,,,,,
GEM,101336-187,Waterman Expert Ballpoint Stainless Steel - Gold Trim,Stainless Steel - Gold Trim,,180,,,,,,,,,,,,,,,,,,,,
GEM,101337,Waterman Hemisphere Rollerball,"Redefine your writing experience with the Waterman Hemisphere Pen. The Waterman Hemisphere Rollerball combines pleasure and precision to create a luxury pen designed to truly elevate your writing experience. Hand-crafted and assembled in France. Slim, sophisticated design. Fine roller ball tip, black ink standard. Swap ink color to blue for an additional charge. Presented in luxury gift box which measures 7""L x 1.5""H x 2.75""W. Model # HEMISPHERE",,,,,15,49,117,P,50,99,105.29,Q,100,249,94.77,R,250,500,90.02,R
GEM,101337-182,Waterman Hemisphere Rollerball Black - Silver Trim,Black - Silver Trim,,884,,,,,,,,,,,,,,,,,,,,
GEM,101337-183,Waterman Hemisphere Rollerball Black - Gold Trim,Black - Gold Trim,,523,,,,,,,,,,,,,,,,,,,,
GEM,101337-186,Waterman Hemisphere Rollerball Stainless Steel - Silver Trim,Stainless Steel - Silver Trim,,272,,,,,,,,,,,,,,,,,,,,
GEM,101337-187,Waterman Hemisphere Rollerball Stainless Steel - Gold Trim,Stainless Steel - Gold Trim,,21,,,,,,,,,,,,,,,,,,,,
GEM,101338,Waterman Hemisphere Ballpoint - Blue Ink,"Redefine your writing experience with the Waterman Hemisphere Pen. The Waterman Hemisphere Ballpoint combines pleasure and precision to create a luxury pen designed to truly elevate your writing experience. Hand-crafted and assembled in France. Slim, sophisticated design. Medium ballpoint tip, blue ink standard. Swap ink color to black for an additional charge. Presented in luxury gift box which measures 7""L x 1.5""H x 2.75""W. Model # HEMISPHERE",,,,,15,49,104.02,P,50,99,93.62,Q,100,249,84.25,R,250,500,75.82,R
GEM,101338-182,Waterman Hemisphere Ballpoint - Blue Ink Black - Silver Trim,Black - Silver Trim,,389,,,,,,,,,,,,,,,,,,,,
GEM,101338-183,Waterman Hemisphere Ballpoint - Blue Ink Black - Gold Trim,Black - Gold Trim,,417,,,,,,,,,,,,,,,,,,,,
GEM,101338-186,Waterman Hemisphere Ballpoint - Blue Ink Stainless Steel - Silver Trim,Stainless Steel - Silver Trim,,591,,,,,,,,,,,,,,,,,,,,
GEM,101338-187,Waterman Hemisphere Ballpoint - Blue Ink Stainless Steel - Gold Trim,Stainless Steel - Gold Trim,,632,,,,,,,,,,,,,,,,,,,,
GEM,101339,Waterman Allure Rollerball,"Redefine your writing experience with the Waterman Allure Pen. The Allure Rollerball Pen creates a beautiful writing experience to support any writing occasion. A modern, French-influenced design with contemporary finishes. Appeals to both students and professionals. Fine rollerball tip, black ink standard. Swap ink color to blue for an additional charge. Presented in a stylish, two-piece gift box which measures 7""L x 1.25""H x 2""W. Model # ALLURE",,,,,15,49,27,P,50,99,24.31,Q,100,249,21.88,R,250,500,19.68,R
GEM,101339-198,Waterman Allure Rollerball Chrome - Silver Trim,Chrome - Silver Trim,,314,,,,,,,,,,,,,,,,,,,,
GEM,101340,Waterman Allure Ballpoint - Blue Ink,"Redefine your writing experience with the Waterman Allure Pen. The Allure Ballpoint Pen creates a beautiful writing experience to support any writing occasion. A modern, French-influenced design with contemporary finishes. Appeals to both students and professionals. Medium ballpoint tip, blue ink standard. Swap ink color to black for an additional charge. Presented in a stylish, two-piece gift box that measures 7""L x 1.25""H x 2""W. Model # ALLURE",,,,,15,49,23.56,P,50,99,21.2,Q,100,249,19.08,R,250,500,17.18,R
GEM,101340-182,Waterman Allure Ballpoint - Blue Ink Black - Silver Trim,Black - Silver Trim,,222,,,,,,,,,,,,,,,,,,,,
GEM,101340-198,Waterman Allure Ballpoint - Blue Ink Chrome - Silver Trim,Chrome - Silver Trim,,356,,,,,,,,,,,,,,,,,,,,
GEM,101341,All-Star Sports Jug - 68 Oz.,Made of impact-resistant Eastman Tritan™ copolyester in two sporty colors,,,,,100,299,23.59,P,300,599,20.23,Q,600,999,17.66,R,1000,2000,16.98,R
GEM,101341-001,All-Star Sports Jug - 68 Oz. Black,Black,,2939,,,,,,,,,,,,,,,,,,,,
GEM,101341-492,All-Star Sports Jug - 68 Oz. Sport Blue,Sport Blue,,2975,,,,,,,,,,,,,,,,,,,,
GEM,101342,Arlo Colorblock Stainless Steel Hydration Bottle - 17 Oz.,Reduce single use plastics with the Arlo Colorblock Hydration Bottle. Made from 18/8 single wall stainless steel in a trendy matte finish with colorblock design. Leak-resistant lid with carry loop. Bottle opening allows you to easily add ice to your drink. Fits in most car cup holders for easy on-the-go use.,,,,,50,99,16.65,P,100,299,14.28,Q,300,999,12.46,R,1000,2000,11.98,R
GEM,101342-877,Arlo Colorblock Stainless Steel Hydration Bottle - 17 Oz. Warm Grey-Black,Warm Grey-Black,,1048,,,,,,,,,,,,,,,,,,,,
GEM,101343,Arlo Colorblock Stainless Steel Hydration Bottle - 20 Oz.,Reduce single use plastics with the Arlo Colorblock Hydration Bottle. Made from 18/8 single wall stainless steel in a trendy matte finish with colorblock design. Bottle opening allows you to easily add ice to your drink. Leak-resistant lid with carry loop,,,,,50,99,18.04,P,100,299,15.47,Q,300,999,13.51,R,1000,2000,12.98,R
GEM,101343-876,Arlo Colorblock Stainless Steel Hydration Bottle - 20 Oz. White-Black,White-Black,,747,,,,,,,,,,,,,,,,,,,,
GEM,101343-877,Arlo Colorblock Stainless Steel Hydration Bottle - 20 Oz. Warm Grey-Black,Warm Grey-Black,,1768,,,,,,,,,,,,,,,,,,,,
GEM,101345,W&P Hole In One Lemon Twist Gin & Tonic Craft Cocktail Kit,Perfect for a golf event this exclusive Hole In One Lemon Twist Gin & Tonic Cocktail Kit contains all the premium ingredients needed to create 2 top-shelf cocktails on the course.  Just add the hard stuff and stir. Bundle with one of our coordinating golf towels for a memorable and useful tournament gift.,,,,,20,49,37.6,P,50,99,32.24,Q,100,299,25.98,S,300,600,24.98,S
GEM,101345-100,W&P Hole In One Lemon Twist Gin & Tonic Craft Cocktail Kit White,White,,2438,,,,,,,,,,,,,,,,,,,,
GEM,101346,Arlo Colorblock Stainless Steel Tumbler - 14 Oz.,"Reduce single use plastics with the Arlo Colorblock Tumbler. Made from 18/8 single wall stainless steel in a trendy matte finish with colorblock design. Sip-thru lid with secure, press fit. Fits in most car cup holders for easy on-the-go use. Product does not retain odors or flavors. Ideal for hot beverages. Hand wash recommended (body can be used in dishwasher, top rack). BPA free. 14 oz. capacity.",,,,,50,99,12.49,P,100,299,10.71,Q,300,999,9.35,R,1000,2000,8.98,R
GEM,101346-876,Arlo Colorblock Stainless Steel Tumbler - 14 Oz. White-Black,White-Black,,1591,,,,,,,,,,,,,,,,,,,,
GEM,101346-877,Arlo Colorblock Stainless Steel Tumbler - 14 Oz. Warm Grey-Black,Warm Grey-Black,,3306,,,,,,,,,,,,,,,,,,,,
GEM,101347,Aviana™ Metallics Double Wall Stainless Steel Bottle - 20 Oz.,The Aviana Metallics Stainless Steel Bottle will help you reach your daily hydration goal with a touch of metallic flair. Made from 18/8 double wall stainless steel in a shimmery glossy finish. Vacuum insulated construction keeps your bottle sweatproof.,,,,,25,49,34.71,P,50,99,29.77,Q,100,299,25.99,R,300,600,24.98,R
GEM,101347-040,Aviana™ Metallics Double Wall Stainless Steel Bottle - 20 Oz. Metallic Silver,Metallic Silver,,1613,,,,,,,,,,,,,,,,,,,,
GEM,101347-686,Aviana™ Metallics Double Wall Stainless Steel Bottle - 20 Oz. Champagne,Champagne,,2523,,,,,,,,,,,,,,,,,,,,
GEM,101349,Aviana™ Metallics Double Wall Stainless Steel Wine Bottle - 25 Oz.,"The Aviana Metallics Wine Bottle holds a full bottle of wine with a touch of metallic flair. Perfect for outdoor activities, including tailgating, camping, and parties. Made from 18/8 double-wall stainless steel in a shimmery, glossy finish. Vacuum insulated construction keeps your bottle sweatproof.",,,,,25,49,40.27,P,50,99,34.53,Q,100,299,30.15,R,300,600,28.98,R
GEM,101349-040,Aviana™ Metallics Double Wall Stainless Steel Wine Bottle - 25 Oz. Metallic Silver,Metallic Silver,,2058,,,,,,,,,,,,,,,,,,,,
GEM,101349-686,Aviana™ Metallics Double Wall Stainless Steel Wine Bottle - 25 Oz. Champagne,Champagne,,2995,,,,,,,,,,,,,,,,,,,,
GEM,101351,Aviana™ Metallics Lunch Cooler,"Carry your lunch and snacks with a touch of metallic flair. The Aviana™ Metallics Cooler Collection features quilted details, satin nickel accents, and soft fabric. Dual zipper opening allows for easy organization. Interior bottle sleeve holds the Aviana™ Palmer or other similar bottle shapes upright. Front zippered pocket perfect for storing cash, credit cards, or keys. Top grab handles for easy carrying",,,,,30,49,30.54,P,50,99,26.2,Q,100,299,22.87,R,300,600,21.98,R
GEM,101351-686,Aviana™ Metallics Lunch Cooler Champagne,Champagne,,948,,,,,,,,,,,,,,,,,,,,
GEM,101352,Aviana™ Metallics Mini Backpack Cooler,"Carry your lunch and snacks with a touch of metallic flair. The Aviana™ Metallics Cooler Collection features quilted details, satin nickel accents, and soft fabric. Wide zippered opening allows for maximum storage. Quilted side pockets and front zippered pocket perfect for stashing snacks, cash, or keys. Adjustable backpack-style shoulder straps and top grab handle for easy carrying.",,,,,25,49,37.49,P,50,99,32.15,Q,100,299,28.07,R,300,600,26.98,R
GEM,101352-040,Aviana™ Metallics Mini Backpack Cooler Metallic Silver,Metallic Silver,,1133,,,,,,,,,,,,,,,,,,,,
GEM,101352-686,Aviana™ Metallics Mini Backpack Cooler Champagne,Champagne,,1183,,,,,,,,,,,,,,,,,,,,
GEM,101353,Aviana™ Metallics Duffel Cooler,"Carry your lunch and snacks with a touch of metallic flair. The Aviana™ Metallics Cooler Collection features quilted details, satin nickel accents, and soft fabric. Wide zippered opening allows for maximum storage. Interior bottle sleeves can hold two Aviana™ Palmer Bottles or other similar bottle shapes upright.",,,,,25,49,44.43,P,50,99,38.11,Q,100,299,33.27,R,300,600,31.98,R
GEM,101353-040,Aviana™ Metallics Duffel Cooler Metallic Silver,Metallic Silver,,862,,,,,,,,,,,,,,,,,,,,
GEM,101353-686,Aviana™ Metallics Duffel Cooler Champagne,Champagne,,307,,,,,,,,,,,,,,,,,,,,
GEM,101355,Arlo Classics Stainless Steel Hydration Bottle - 17 Oz.,Reduce single use with the Arlo Classics Hydration Bottle,,,,,100,299,16.65,P,300,599,14.28,Q,600,999,12.46,R,1000,2000,11.98,R
GEM,101355-001,Arlo Classics Stainless Steel Hydration Bottle - 17 Oz. Black,Black,,1396,,,,,,,,,,,,,,,,,,,,
